K,ARI_mean,ARI_std,ARI_min,ARI_max
3,0.866240677502554,0.04000544024950706,0.4699381869641262,0.8716234729269873
4,0.8860760579477778,0.040834104791879385,0.7513438573278328,0.9501127179076574
5,0.8137772268512471,0.043097527505685226,0.670564033331254,0.8856657424856128
6,0.8000382646772013,0.0426249869253355,0.6830528290125418,0.8692665544787339
7,0.6713991258248333,0.035608171545710506,0.6011636345385502,0.778009523233259
8,0.6037222699346253,0.04334441601320749,0.5035534316772061,0.721546675871294
